"Store","Department","Recipe Name","Old Price","New Price","Selling","New GP"
"Springbok Superspar","Sushi","COMBO  6",42.316241254000765,42.318726869213535,99.99,51.32859696010045,
"Springbok Superspar","Sushi","COMBO  9",41.53836932270023,41.54085493791299,109.99,56.566975926357,
"Springbok Superspar","Sushi","COMBO 11",59.34339095432419,59.34587656953696,184.99,63.1073257716809,
"Springbok Superspar","Sushi","VALENTINE'S PLATTER",104.3278980621875,104.33038367740029,200.0,40.01002938549483,
"Springbok Superspar","Sushi","LARGE PLATTER for TWO",117.48797208944673,117.49045770465949,179.99,24.93248160433447,
"Springbok Superspar","Sushi","COMBO  3 Salmon",38.04861341174845,38.05109902696121,84.99,48.513044027526306,
"Springbok Superspar","Sushi","COMBO  2 SALMON",20.303156885365578,20.30564250057834,69.99,66.63596388674799,
"Springbok Superspar","Sushi","RECIPE CALIFORNIA ROLL (SALMON)",1.5300501275822496,1.5306593469971432,0.0,0,
"Springbok Superspar","Sushi","COMBO  5",32.61156142353965,32.61404703875242,99.99,62.49009491492621,
"Springbok Superspar","Sushi","COMBO  7",39.36073932965395,39.36322494486672,99.99,54.72776408981225,
"Springbok Superspar","Sushi","COMBO 11",59.34587656953696,59.35084779996248,184.99,63.10423538031416,
"Springbok Superspar","Sushi","COMBO  4 Salmon",58.02263315867057,58.025118773883335,109.99,39.33186054189851,
"Springbok Superspar","Sushi","COMBO 12 Salmon",70.12568918750081,70.13066041792634,199.99,59.67285390238748,
"Springbok Superspar","Sushi","COMBO  3 Salmon",38.05109902696121,38.05358464217397,84.99,48.5096807406753,
"Springbok Superspar","Sushi","COMBO  2 SALMON",20.30564250057834,20.308128115791106,69.99,66.63187979259926,
"Springbok Superspar","Sushi","RECIPE CALIFORNIA ROLL (AVO)",0.913611417396746,0.9324928651595746,0.0,0,
"Springbok Superspar","Sushi","GO GREEN AVO SUSHI",29.849509889123848,30.00358250286853,99.99,65.49242936463766,
"Springbok Superspar","Sushi","COMBO  1 ASSORTED Crab & Avo",14.906010578841283,14.944528732277453,84.99,79.77855272135655,
"Springbok Superspar","Sushi","COMBO  1 AVO",10.465345991808727,10.542382298681067,45.0,73.05835634781505,
"Springbok Superspar","Sushi","RECIPE CALIFORNIA ROLL (CRABSTIK)",0.7609048135117485,0.7610266573947273,0.0,0,
"Springbok Superspar","Sushi","COMBO  1 ASSORTED Crab & Avo",14.944528732277453,14.94477729379873,84.99,79.77821639267144,
"Springbok Superspar","Sushi","COMBO  1 CRABSTICK",12.636700365873839,12.637197488916392,45.0,67.704939750547,
"Springbok Superspar","Sushi","RECIPE FASHION SANDWICH (AVO)",0.7639827218945747,0.7645919413094685,0.0,0,
"Springbok Superspar","Sushi","GO GREEN AVO SUSHI",30.00358250286853,30.00855373329406,99.99,65.48671187789962,
"Springbok Superspar","Sushi","COMBO 12 Salmon",70.13066041792634,70.1331460331391,199.99,59.671424602175136,
"Springbok Superspar","Sushi","COMBO  1 ASSORTED Crab & Avo",14.94477729379873,14.946020101405113,84.99,79.77653474924594,
"Springbok Superspar","Sushi","COMBO  1 AVO",10.542382298681067,10.544867913893833,45.0,73.0520042200491,
"Springbok Superspar","Sushi","RECIPE WASABI",50.87,51.8874,0.0,0,
"Springbok Superspar","Sushi","COMBO 13",81.70370132090707,81.71926754090707,119.99,21.679175204564448,
"Springbok Superspar","Sushi","SASHIMI",66.62467,61.77834034,129.99,45.3457255242711,
"Springbok Superspar","Sushi","COMBO  8",98.77898264187371,93.8461038686737,224.99,52.03208167075215,
"Springbok Superspar","Sushi","COMBO 2 BILTONG",28.36136283400317,28.366551574003164,84.99,61.61720871855084,
"Springbok Superspar","Sushi","GO GREEN AVO SUSHI",30.00855373329406,30.029308693294062,99.99,65.46284128684051,
